Animation File,Animation Description,Frame Range (@30fps)
,,
ALL,T-Pose,Frame 0
,,
01_Standing,Standing Idle,Frame 1 - 101
,Turn Left 90 Degrees,102 - 142
,Turn Right 90 Degrees,143 - 182
,Turn 180 Degrees,183 - 225
,,
02_Crouching,Crouching Idle,Frame 1 - 81
,Crouch Walk Forward,82 - 122
,Crouch Walk Backward,123 - 163
,Crouch Walk Left,164 - 204
,Crouch Walk Right,205 - 245
,,
03_Walks,Walk Forward,Frame 1 - 40
,Walk Backward,41 - 81
,Walk Left,82 - 122
,Walk Right,123 - 163
,,
04_Runs,Run Forward,Frame 1 - 16
,Run Backward,17 - 31
,Run Left,32 - 47
,Run Right,48 - 63
,Sprinting,64 - 79
,,
05_Rolls,Roll Forward,Frame 1 - 46
,Roll Left,47 - 97
,Roll Right,98 - 148
,Dodge Roll Backward,149 - 199
,,
06_Melee Kicks,Push-Kick,Frame 1 - 31
,Ground Kick,32 - 62
,Ground Kick #02,63 - 103
,,
07_Item Pickups,ItemPickup_Ground,Frame 1 - 50
,ItemPickup_Surface,51 - 71
,Item Discard,72 - 102
,,
08_MiscActions,Swipe Card,Frame 1 - 50
,Push Large Object,51 - 99
,Door Open Outside,100 - 150
,Door Open Inside,151 - 191
,,
,,
Melee Axe Animations,,
,,
09_AxeIdle,Axe Idle,Frame 1 - 101
,,
10_AxeWalks,Walk Forward,Frame 1 - 45
,Walk Backward,46 - 91
,Walk Left,92 - 137
,Walk Right,138 - 183
,,
11_AxeRuns,Run Forward,Frame 1 - 21
,Run Backward,22 - 42
,Run Left,43 - 63
,Run Right,64 - 84
,Sprinting,85 - 100
,,
12_AxeMelee,Quick Attack 01,Frame 1 - 51
,Quick Attack 02,52 - 102
,Heavy Attack 01,103 - 203
,Heavy Attack 02,204 - 304
,,
Pistol Animations,,
,,
13_Pistol_Idle,Standing Idle,Frame 1 - 81
,Pistol Raised Idle,82 - 162
,,
14_Pistol_Walks,Walk Forward,Frame 1 - 40
,Walk Backward,41 - 81
,Walk Left,82 - 122
,Walk Right,123 - 163
,,
15_Pistol_Runs,Run Forward,Frame 1 - 21
,Run Backward,22 - 42
,Run Left,43 - 63
,Run Right,64 - 84
,Sprint,85 - 100
,,
16_Pistol_Reloads,Pistol Reload 01,Frame 1 - 60
,Pistol Reload 02,61 - 101
,,
17_Pistol_Melees,Pistol Melee 01,Frame 1 - 55
,Pistol Melee 02,56 - 106
,,
18_Pistol_Misc,Draw Pistol,Frame 1 - 25
,Holster Pistol,26 - 51
,,
Rifle Animations,,
,,
19_Rifle_Idle,Rifle Idle,Frame 1 - 81
,Rifle Raised Idle,82 - 162
,,
20_Rifle_Misc,Rifle Draw,Frame 1 - 50
,Rifle Holster,51 - 100
,Rifle Melee,101 - 151
,,
21_Rifle_Walks,Walk Forward,Frame 1 - 45
,Walk Backward,46 - 91
,Walk Left,92 - 137
,Walk Right,138 - 183
,,
22_Rifle_Runs,Run Forward,Frame 1 - 21
,Run Backward,22 - 42
,Run Left,43 - 63
,Run Right,64 - 84
,Sprint,85 - 100
,,
23_Gun_Fire,Rifle Fire,Frame 1 - 30
,Pistol Fire,30 - 65
